label,review,repeat
0,"炒饭里全是油，吃了一口就不想吃了，太腻了。","不好意思，炒饭的油量没有把控好，让您觉得腻了，这是我们的失误。我们会让厨房调整油量，做出更可口的炒饭。您可以联系我们处理，非常抱歉！"
1,"味道很正宗，和我在当地吃的一样，太怀念了。","谢谢您的认可！能让您吃到熟悉的正宗味道我们很欣慰，我们会一直保持好的口味，期待您再次品尝！"
0,"点的餐里没有餐具，怎么吃啊，太粗心了。","非常抱歉，打包时忘记放餐具了，给您带来了极大的不便，这是我们的疏忽。我们会加强打包检查，确保餐具齐全。您可以联系我们，我们会尽快给您送过去餐具，再次抱歉！"
1,"虽然是外卖，但包装得很好，和堂食的口感差不多。","感谢您的好评！我们一直努力让外卖也能有堂食的口感，好的包装是关键，能得到您的肯定我们很开心，期待您再次下单！"
0,"肉是臭的，明显不新鲜，吃了一点就肚子疼。","非常抱歉，让您吃到了不新鲜的肉还肚子疼，这是我们的严重失职。我们会加强食材新鲜度的把控，坚决不使用变质食材。请您务必联系我们，我们会承担相应的责任并给您满意的处理，向您郑重道歉！"
1,"分量很足，味道也很好，价格还实惠，会无限回购的。","谢谢您的支持和肯定！能让您觉得实惠又美味我们很开心，我们会继续保持，期待您的每次回购！"
0,"送过来的 pizza 都凉了，芝士都不拉丝了，难吃。","实在抱歉，pizza 凉了影响了口感，这是我们保温工作没做好。我们会改进保温措施，让您吃到热乎美味的 pizza。您可以联系我们，我们会给您相应的补偿，非常抱歉！"
1,"客服态度很好，有问题很快就解决了，餐品也不错。","感谢您的好评！好的客服服务和美味的餐品都是我们想给您的，能及时解决您的问题我们很开心，期待您再次光临！"
0,"菜里有沙子，硌到牙了，太不卫生了。","非常抱歉，这是我们清洗食材时没有处理干净，给您带来了伤害，我们很愧疚。我们会加强食材清洗环节的检查，确保干净卫生。请您联系我们，我们会给您相应的补偿，再次道歉！"
1,"新出的甜品太好吃了，甜而不腻，颜值也高，爱了爱了。","谢谢您的喜欢！新甜品能得到您的青睐我们很开心，我们会继续推出更多美味的甜品，期待您的再次品尝！"
0,"订单备注不要香菜，结果满满都是，太不把顾客当回事了。","非常抱歉没按照您的备注处理，这是我们工作的疏忽。我们会加强对备注信息的核对，严格按要求制作餐品。您可以联系我们，我们会为您重新制作一份，再次抱歉！"
1,"这家的红烧肉炖得太入味了，肥而不腻，米饭都多吃了一碗。","感谢您的好评！红烧肉能得到您的认可我们很开心，这道菜我们一直很用心炖制，能让您多吃米饭是我们的荣幸，期待您再次光临！"
0,"送来的饺子都粘在一起了，皮都破了，馅也露出来了。","不好意思，饺子打包时没有做好防粘处理，导致出现这种情况。我们会改进打包方式，比如多加些干面粉隔开。您可以联系我们，我们会给您重新配送或退款，非常抱歉！"
1,"速度快到惊讶，下单十分钟就送到了，而且还是热的，必须好评！","谢谢您的肯定！快速配送是我们的优势之一，能让您这么快吃到热乎的餐品我们很开心，我们会继续保持，期待您再次下单！"
0,"点的套餐里的水果是烂的，看着就没胃口，太影响心情了。","非常抱歉让您遇到这种情况，水果不新鲜是我们采购和检查的失职。我们会加强对水果等食材的筛选，杜绝烂果。请您联系我们，我们会给您相应的补偿，再次向您道歉！"
1,"味道很赞，尤其是那个秘制酱料，蘸什么都好吃，已经收藏店铺了。","感谢您的喜爱和收藏！秘制酱料是我们的特色，能得到您的认可我们很欣慰，我们会一直保持好味道，期待您常来光顾！"
0,"送餐员态度很差，催了一下就不耐烦，说话还特别冲。","实在抱歉，送餐员的态度给您带来了不好的体验，这是我们管理不到位。我们会对送餐员进行服务培训，提高服务意识。您可以联系我们说明具体情况，我们会严肃处理，非常抱歉！"
1,"包装很有特色，和别家不一样，餐品味道也很独特，很喜欢。","谢谢您的喜欢！我们不仅注重味道，也希望在包装上给您不一样的感觉，能得到您的认可我们很开心，欢迎常来！"
0,"菜的分量越来越少了，以前两个人够吃，现在一个人都勉强。","不好意思让您觉得分量不足，我们会重新评估菜品分量，确保能满足顾客需求。您的反馈很重要，我们会尽快调整，感谢您的监督！"
1,"汤的味道很浓郁，食材也很丰富，冬天喝一碗特别暖和。","感谢您的好评！冬天能让您喝到暖和又浓郁的汤我们很开心，这汤我们熬制了很久，能得到您的喜欢是我们的荣幸，期待您再次品尝！"
0,"点的是酸辣粉，结果一点酸味和辣味都没有，像白开水泡的。","实在抱歉，酸辣粉的味道没有做好，这是厨师的失误。我们会加强对厨师的培训，严格把控酸辣度。您可以联系我们，我们会为您重新做一份，非常抱歉！"
1,"这家的包子皮薄馅大，汤汁也多，吃起来特别满足，早餐就选它了。","谢谢您的肯定！我们的包子一直坚持皮薄馅大的标准，能让您早餐吃得满足我们很开心，我们会继续保持，期待您每天都能吃到！"
0,"饮料里有沉淀物，看着很不干净，不敢喝，直接扔了。","非常抱歉，饮料出现这种情况是我们的问题，可能是储存不当或产品本身有问题。我们会立即检查所有饮料，杜绝此类情况。请您联系我们，我们会给您退款并补偿，再次道歉！"
1,"客服很耐心，我问了很多问题都一一解答了，餐品也没让人失望。","感谢您的认可！耐心解答顾客问题是我们客服的职责，餐品能让您满意也很重要，我们会继续保持，期待您再次光临！"
0,"饭是夹生的，根本嚼不动，吃了一口就吐了，太影响食欲了。","实在抱歉，米饭夹生是我们煮饭环节的失误，给您带来了极差的体验。我们会加强对煮饭时间和火候的把控，确保米饭熟透。您可以联系我们，我们会给您重新配送或退款，非常抱歉！"
1,"性价比超高，这么便宜能吃到这么好的品质，太惊喜了，会推荐给朋友。","谢谢您的推荐和肯定！性价比是我们一直追求的，能给您带来惊喜我们很开心，期待您的朋友也能喜欢，欢迎大家常来！"
0,"点的是烤鱼，结果送来的鱼是凉的，而且还有点腥，太难吃了。","非常抱歉，烤鱼凉了还腥是我们的问题，可能是保温不到位或鱼不新鲜。我们会改进保温措施并严格筛选新鲜鱼。您可以联系我们，我们会给您相应的补偿，再次道歉！"
1,"这家的麻辣烫可以选的食材特别多，而且都很新鲜，味道也很正宗。","感谢您的好评！丰富且新鲜的食材是我们麻辣烫的特点，能让您吃到满意我们很开心，期待您再次品尝！"
0,"订单确认了很久都没出餐，催了好几次才说没货了，太耽误事了。","不好意思，没货没有及时告知您，让您等了这么久，这是我们库存管理的失误。我们会优化库存系统，及时更新缺货信息。您可以联系我们，我们会给您相应的补偿，非常抱歉！"
1,"小咸菜特别好吃，配着主食吃绝了，每次都想多要一份，老板也很大方。","谢谢您的喜欢！小咸菜是我们特意准备的，能得到您的青睐我们很开心，老板大方也是希望您吃得满意，期待您再次光临，小咸菜管够哦！"
0,"送来的粥稀得像水一样，里面就几粒米，和图片完全不符。","非常抱歉，粥的浓稠度和图片不符，这是我们制作时的失误。我们会按照图片标准调整粥的浓度，确保货真价实。您可以联系我们，我们会给您重新做一份或退款，非常抱歉！"
1,"味道很家常，像妈妈做的一样，吃着特别亲切，很喜欢这种感觉。","谢谢您的喜爱！能让您吃到家的味道是我们的追求，我们会继续保持这份家常味，期待您常来，就像回到家一样！"
0,"点的汉堡面包是硬的，像放了好几天的，一点都不松软。","实在抱歉，汉堡面包不新鲜是我们储存不当导致的。我们会加强对面包等食材的储存管理，确保新鲜。您可以联系我们，我们会给您重新做一个或退款，非常抱歉！"
1,"送餐员很贴心，还提醒我小心烫，餐品也保护得很好，没有撒漏。","感谢您的好评！送餐员的贴心服务是我们希望的，能让您安全又舒心地用餐我们很开心，期待您再次下单！"
0,"菜里有虫子，太恶心了，以后再也不会在这家点了。","非常抱歉让您遇到这么糟糕的情况，菜里有虫子是我们卫生管理的重大问题。我们会彻底清洁厨房，加强检查，杜绝此类事件。请您联系我们，我们会给您满意的处理，向您郑重道歉！"
1,"这家的甜品颜值太高了，舍不得吃，味道也和颜值一样在线，爱了！","谢谢您的喜欢！我们的甜品不仅注重味道，也很在意颜值，能让您这么满意我们很开心，我们会继续推出高颜值甜品，期待您再次品尝！"
0,"价格太贵了，就一个简单的盖浇饭要三十多，性价比太低。","不好意思让您觉得价格不合理，我们会评估菜品定价，看看是否有调整空间，尽量做到性价比更高。感谢您的反馈，我们会认真考虑！"
1,"食材很新鲜，吃起来就知道是好东西，味道也很清淡健康，适合养生。","感谢您的肯定！新鲜和健康是我们一直坚持的，适合养生的口味也是我们努力的方向，能得到您的认可我们很开心，欢迎常来！"
0,"点的是热饮，结果送来的是凉的，一点温度都没有。","实在抱歉，热饮变成凉的是我们保温工作没做好。我们会更换更好的保温容器，确保热饮能保持温度。您可以联系我们，我们会为您重新做一杯，非常抱歉！"
1,"每次来例假都点这家的红糖姜茶，特别暖，还有那个红枣糕也超好吃。","谢谢您的信赖！能在特殊时期给您带来温暖我们很开心，红糖姜茶和红枣糕都是我们精心准备的，期待您需要的时候随时下单！"
0,"餐品送错了地址，送到别人家去了，等发现的时候已经凉了。","非常抱歉，送错地址是我们配送环节的严重失误，给您带来了很大的不便。我们会加强对地址的核对，避免这种情况。您可以联系我们，我们会给您重新配送热乎的餐品，非常抱歉！"
1,"味道超出预期，本来只是随便点点，结果被圈粉了，以后就是常客了。","感谢您的认可和喜爱！能让您成为常客是我们的荣幸，我们会继续努力，不辜负您的喜欢，期待您常来！"
0,"菜太淡了，一点味道都没有，像是没放盐一样，太难吃了。","不好意思，菜的味道没调好，让您觉得难吃了。我们会让厨师加强对味道的把控，确保咸淡适中。您可以联系我们处理，非常抱歉！"
1,"包装特别严实，一点都没洒，而且还送了湿纸巾和牙签，很贴心。","谢谢您的好评！严实的包装和贴心的小物件都是我们想给您的好体验，能得到您的认可我们很开心，期待您再次下单！"
0,"等了一个半小时，餐品还没到，联系商家也没人接电话，太不靠谱了。","实在抱歉，让您等了这么久还联系不上我们，这是我们的严重失职。我们会优化出餐流程，确保客服电话畅通。您可以再联系我们一下，我们会给您满意的处理，非常抱歉！"
1,"这家的炒饭粒粒分明，不油不腻，火候掌握得刚刚好，太好吃了。","感谢您的好评！炒饭能做到粒粒分明是有技巧的，能得到您的认可我们很开心，我们会继续保持好的火候，期待您再次品尝！"
0,"点的奶茶里有头发，太恶心了，以后再也不会买了。","非常抱歉让您遇到这种情况，这是我们制作过程中的卫生问题。我们会加强员工操作规范和卫生检查，杜绝此类问题。请您联系我们，我们会给您退款并补偿，再次向您道歉！"
1,"味道很正宗，和我去当地旅游时吃的味道一样，太怀念了，谢谢商家！","谢谢您的肯定！能让您尝到熟悉的正宗味道我们很欣慰，我们会一直保持好的口味，期待您再次光临，重温美好回忆！"
0,"送来的面条都坨成一团了，用筷子都扒不开，根本没法吃。","不好意思，面条坨了是我们打包时没有做好处理，给您带来了不好的体验。我们会在打包时多放些汤或用油拌一下防止坨住。您可以联系我们，我们会给您重新配送或退款，非常抱歉！"
1,"性价比很高，一个人吃不完，而且味道也很好，已经推荐给同事了。","感谢您的推荐！性价比高和味道好是我们的追求，能让您和同事喜欢我们很开心，期待您和同事常来！"
0,"菜是凉的，加热了一下还是不好吃，明显是剩菜加热的。","非常抱歉，给您提供了剩菜加热的餐品，这是我们的严重错误。我们承诺不会使用剩菜，会加强管理。请您联系我们，我们会给您相应的补偿，向您郑重道歉！"
1,"送餐员很负责，餐品送到时还特意提醒我小心烫，服务态度超好。","谢谢您的好评！送餐员的负责和良好态度是我们希望的，能让您有好的体验我们很开心，期待您再次下单！"
0,"点的套餐里少了一瓶饮料，联系商家说给补送，结果等了半天也没送来。","实在抱歉，少送了饮料还没及时补送，这是我们的服务不到位。我们会加强打包检查，确保补送及时。请您再联系我们一下，我们会马上为您处理，非常抱歉！"
1,"这家的蛋糕口感特别好，甜而不腻，奶油也很新鲜，生日就选这家了。","感谢您的喜爱！能成为您生日蛋糕的选择我们很荣幸，我们会一直保证蛋糕的口感和奶油的新鲜，期待您生日那天的光临！"
0,"价格比上周贵了五块钱，也没提前说一声，感觉被坑了。","不好意思，价格调整没有提前告知您，让您有不好的感觉。我们会在价格调整时提前公示，尊重顾客的知情权。您的反馈我们会重视，感谢您的监督！"
1,"味道很好，尤其是那个招牌菜，百吃不厌，每次来都点，太好吃了！","谢谢您的喜爱！招牌菜能让您百吃不厌是我们的荣幸，我们会一直保持招牌菜的品质，期待您每次都能吃到满意的它！"
0,"送来的披萨饼底是硬的，像放了好几天的，芝士也不融化，太难吃了。","非常抱歉，披萨的品质出现了问题，这是我们制作或储存的失误。我们会加强对披萨制作和储存的管理，确保新鲜美味。您可以联系我们，我们会给您重新配送或退款，非常抱歉！"
1,"包装很环保，没有塑料垃圾，餐品味道也很健康，支持这样的商家！","感谢您的支持！环保和健康是我们的理念，能得到您的认可我们很开心，我们会继续坚持，期待您再次光临！"
0,"点的餐里没有放调料包，吃起来一点味道都没有，太粗心了。","非常抱歉，打包时忘记放调料包了，给您带来了不好的口感。我们会加强打包检查，确保调料包等配件齐全。您可以联系我们，我们会给您补送调料包或退款，再次抱歉！"
1,"速度很快，餐品很新鲜，味道也很棒，已经把这家店设为首选了。","谢谢您的肯定和信任！能成为您的首选我们很荣幸，我们会继续保持速度、新鲜和美味，期待您每次下单都满意！"
0,"汉堡里的生菜都黄了，不新鲜，吃着一股怪味。","非常抱歉，生菜不新鲜是我们采购和储存的问题，给您带来了不好的口感。我们会加强对蔬菜的筛选和保鲜，杜绝黄叶菜。您可以联系我们，我们会给您重新做一份或退款，非常抱歉！"
1,"这家的炸鸡外酥里嫩，肉汁特别多，蘸上酱料简直绝了，爱了爱了！","感谢您的喜爱！我们的炸鸡在火候和腌制上都很用心，能让您这么满意我们很开心，我们会继续保持好品质，期待您再次光临！"
0,"点的米线汤太少了，干巴巴的，根本没法吃，太坑了。","不好意思，米线汤太少是我们打包时的失误，让您没法正常食用。我们会增加汤的分量，确保口感。您可以联系我们，我们会给您重新配送或退款，非常抱歉！"
1,"配送员特别贴心，看到我带着孩子，还帮我把餐品送到家里，太感谢了！","谢谢您的好评！送餐员能主动提供帮助是我们希望的服务态度，能让您和孩子方便些我们很开心，期待您再次下单！"
0,"菜里有块石头，差点把牙硌掉，太危险了，再也不会点了。","非常抱歉让您遇到这么危险的情况，这是我们清洗食材时的严重疏忽。我们会加强食材清洗和检查，杜绝此类问题。请您联系我们，我们会给您相应的补偿并郑重道歉！"
1,"味道很家常，分量也足，妈妈说比她做的还好吃，必须好评！","感谢您和妈妈的认可！能得到长辈的喜欢是我们的荣幸，我们会继续保持这份家常味和足分量，期待您和妈妈常来！"
0,"送来的奶茶上面的奶油都化了，和图片差距太大，影响食欲。","实在抱歉，奶油融化是我们保存和配送的问题，没有做好低温保护。我们会改进包装，确保奶油的形态。您可以联系我们，我们会给您重新做一杯，非常抱歉！"
1,"这家的盖浇饭荤素搭配合理，米饭也很香，吃着特别舒服，推荐！","谢谢您的推荐！合理搭配和香米饭是我们的追求，能让您吃得舒服我们很开心，期待更多人喜欢，也欢迎您常来！"
0,"等了快两个小时，餐品才到，而且还是凉的，商家一点歉意都没有。","非常抱歉让您等了这么久还吃到凉餐品，我们的服务和流程都有问题。我们会优化出餐和配送，加强员工的服务意识。您可以联系我们，我们会给您满意的补偿，再次道歉！"
1,"包装很精致，还印了可爱的图案，餐品味道也很好，心情都变好了。","感谢您的好评！精致的包装和可爱图案是想给您带来好心情，餐品味道能让您满意也很重要，我们会继续努力，期待您再次光临！"
0,"点的套餐里的薯条都软了，一点都不脆，像放了很久的。","不好意思，薯条软了是我们保存或配送时间太长导致的，影响了口感。我们会改进薯条的制作和配送，确保酥脆。您可以联系我们处理，非常抱歉！"
1,"汤的味道太鲜美了，里面的食材也炖得很烂，老人孩子都爱吃。","谢谢您的肯定！汤鲜和食材烂是我们特意为老人孩子考虑的，能让他们爱吃我们很开心，期待您常来给家人点餐！"
0,"商家发错了餐，我点的辣的结果发来不辣的，联系还不承认。","实在抱歉，发错餐还不承认是我们的严重错误，服务态度也有问题。我们会加强核对，端正服务态度。请您联系我们，我们会给您重新配送并道歉，非常抱歉！"
1,"这家的寿司醋放得刚刚好，米饭软硬适中，食材也很新鲜，太好吃了。","感谢您的好评！寿司的细节我们都很在意，醋的比例和米饭硬度都有讲究，能得到您的认可我们很开心，期待您再次品尝！"
0,"价格又涨了，味道却越来越差，性价比太低，不会再买了。","不好意思让您觉得性价比低，我们会反思味道问题和定价。您的反馈很重要，我们会努力调整，希望能重新得到您的认可，感谢您的监督！"
1,"送餐速度超快，下雨也没耽误，餐品还没湿，必须给送餐员点赞！","谢谢您的点赞！送餐员在雨天也能快速安全送达很不容易，我们会给予肯定，也会继续做好保障，期待您再次下单！"
0,"菜里有股怪味，像是变质了，吃了一口就吐了，太恶心了。","非常抱歉，菜有怪味可能是变质了，这是我们的严重失职。我们会加强食材的新鲜度管理，杜绝变质菜。请您联系我们，我们会给您退款并补偿，再次向您道歉！"
1,"味道很正宗，是我吃过最接近家乡味的，已经把店铺分享给老乡了。","感谢您的分享！能让您尝到家乡味并分享给老乡我们很欣慰，我们会一直保持正宗口味，期待您和老乡常来！"
0,"点的是热粥，结果送来的是温的，一点都不热乎，喝着不舒服。","实在抱歉，热粥没保持温度是我们保温工作没做好。我们会换更好的保温容器，确保粥的热度。您可以联系我们，我们会给您重新做一份，非常抱歉！"
1,"这家的包子馅料很足，味道也很正宗，早上吃两个就饱了，方便又好吃。","谢谢您的肯定！足馅料和正宗味是我们包子的特色，能让您早上吃得饱又方便我们很开心，期待您每天都能吃到！"
0,"餐品的分量少得可怜，价格还不便宜，感觉被欺骗了。","非常抱歉让您有被欺骗的感觉，分量和价格不匹配是我们的问题。我们会调整分量或价格，做到物有所值。您可以联系我们，我们会给您相应补偿，感谢您的反馈！"
1,"客服响应速度很快，有问题马上就解决了，餐品也很美味，体验很好。","感谢您的认可！快速解决问题和美味餐品都是我们想给您的，能有好体验我们很开心，期待您再次光临！"
0,"送来的面条调料包漏了，弄得一盒子都是，根本没法吃。","不好意思，调料包漏了是我们包装的问题，给您带来了麻烦。我们会加强包装检查，确保调料包完好。您可以联系我们，我们会给您重新配送或退款，非常抱歉！"
1,"性价比太高了，这么一大份才十几块，味道还特别好，会一直回购的。","谢谢您的支持！高性价比是我们的目标，能让您满意并回购我们很开心，我们会继续保持，期待您每次下单！"
0,"菜太咸了，齁得慌，喝了好几杯水才缓解，太影响体验了。","非常抱歉，菜太咸是我们厨师的失误，给您带来了不适。我们会加强对咸度的把控，确保口味适中。您可以联系我们处理，非常抱歉！"
1,"这家的炒饭配料丰富，有鸡蛋、火腿、虾仁，味道也很棒，太满足了。","感谢您的好评！丰富配料和好味道是我们炒饭的特点，能让您满足我们很开心，期待您再次品尝！"
0,"外卖到了发现少了一份小吃，联系商家说下次补，结果下次点还没补。","实在抱歉，少送小吃还没及时补是我们的服务不到位，失信于您。我们会加强管理，确保补送及时。请您联系我们，我们会马上给您补上并补偿，非常抱歉！"
1,"包装很环保，用的是可降解材料，餐品味道也很健康，必须支持！","谢谢您的支持！环保和健康是我们的理念，能得到您的认可我们很开心，我们会一直坚持，期待您再次光临！"
0,"点的奶茶里有异物，像是塑料碎片，太吓人了，不敢喝。","非常抱歉，奶茶里有异物是我们制作或包装的严重问题，太危险了。我们会彻底检查制作过程和包装，杜绝此类情况。请您联系我们，我们会给您退款并补偿，郑重道歉！"
1,"味道特别好，尤其是那个辣椒，又香又辣，特别过瘾，已经收藏了。","感谢您的收藏和喜爱！辣椒的香和辣是我们的特色，能让您过瘾我们很开心，我们会继续保持，期待您常来！"
0,"送餐员把餐品放在楼下就走了，都不通知一声，差点丢了。","非常抱歉，送餐员没通知就放楼下是服务不到位，太不负责任了。我们会加强培训，要求送餐员必须通知顾客。您可以联系我们说明情况，我们会处理，非常抱歉！"
